CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
169450128,09/11/2017,16:30:00,09/13/2017,16:45:00,45,09/17/2017,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),"1,031,237","257,081",25-44,BLACK,U,,40.872179,-73.830101,"(40.872179, -73.830101)",PATROL BORO BRONX,(null),45-64,BLACK,M
167086123,07/15/2017,21:15:00,07/15/2017,21:25:00,34,07/15/2017,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),"1,002,264","250,413",25-44,WHITE,M,,40.853985,-73.934883,"(40.853985, -73.934883)",PATROL BORO MAN NORTH,(null),25-44,WHITE,M
162097170,01/28/2017,17:36:00,,(null),20,02/20/2017,121,CRIMINAL MISCHIEF & RELATED OF,273.0,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),"992,081","224,190",(null),(null),(null),1.0,40.78202248,-73.97172308,"(40.78202248, -73.97172308)",PATROL BORO MAN NORTH,81 ST.-MUSEUM OF NATURAL HISTO,UNKNOWN,UNKNOWN,E
161472604,01/31/2017,10:00:00,,(null),75,01/31/2017,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),"1,018,468","184,404",(null),(null),(null),,40.672758,-73.876644,"(40.672758, -73.876644)",PATROL BORO BKLYN NORTH,(null),65+,BLACK,M
171196566,11/03/2017,19:48:00,11/03/2017,19:50:00,17,11/03/2017,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),"993,039","215,158",65+,BLACK,M,,40.757232,-73.968273,"(40.757232, -73.968273)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,M
178601669,03/25/2018,14:00:00,04/25/2018,17:00:00,70,04/25/2018,109,GRAND LARCENY,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,BROOKLYN,INSIDE,MAILBOX OUTSIDE,N.Y. POLICE DEPT,0,(null),(null),(null),"994,040","173,452",UNKNOWN,UNKNOWN,U,,40.642758,-73.964721,"(40.642758, -73.964721)",PATROL BORO BKLYN SOUTH,(null),65+,BLACK,F
175311181,12/26/2017,19:00:00,12/30/2017,15:00:00,52,02/28/2018,109,GRAND LARCENY,422.0,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),"1,018,464","257,578",UNKNOWN,UNKNOWN,U,,40.873602,-73.876285,"(40.873602, -73.876285)",PATROL BORO BRONX,(null),18-24,WHITE HISPANIC,F
190022223,11/06/2018,21:00:00,11/06/2018,21:30:00,102,11/14/2018,112,THEFT-FRAUD,739.0,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),"1,028,107","194,436",(null),(null),(null),,40.700251,-73.841828,"(40.700251, -73.841828)",PATROL BORO QUEENS SOUTH,(null),25-44,WHITE HISPANIC,F
172920554,12/22/2017,22:51:00,,(null),14,12/23/2017,121,CRIMINAL MISCHIEF & RELATED OF,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,MANHATTAN,INSIDE,GYM/FITNESS FACILITY,N.Y. POLICE DEPT,0,(null),(null),(null),"987,816","211,442",UNKNOWN,WHITE HISPANIC,M,,40.747036,-73.987127,"(40.747036, -73.987127)",PATROL BORO MAN SOUTH,(null),45-64,AMERICAN INDIAN/ALASKAN NATIVE,M
164382072,05/03/2017,01:50:00,05/03/2017,02:00:00,34,05/03/2017,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),"1,003,184","252,167",(null),(null),(null),,40.858795,-73.931549,"(40.858795, -73.931549)",PATROL BORO MAN NORTH,(null),25-44,WHITE,F
162361604,02/28/2017,17:00:00,03/01/2017,07:15:00,107,03/01/2017,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),"1,033,381","200,242",UNKNOWN,UNKNOWN,U,,40.71616,-73.822768,"(40.71616, -73.822768)",PATROL BORO QUEENS SOUTH,(null),UNKNOWN,UNKNOWN,D
175475229,02/26/2018,12:00:00,03/05/2018,12:00:00,114,03/05/2018,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),"1,004,673","215,499",UNKNOWN,UNKNOWN,U,,40.758151,-73.926278,"(40.758151, -73.926278)",PATROL BORO QUEENS NORTH,(null),25-44,WHITE,M
