CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_FR_DTTM,CMPLNT_TO_DT,CMPLNT_TO_TM,CMPLNT_TO_DTTM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,Lat_Lon,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
169450128,2017-09-11,16:30:00,2017-09-11 16:30:00,2017-09-13,16:45:00,2017-09-13 16:45:00,45,2017-09-17,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,1031237,257081,25-44,BLACK,U,40.872179,-73.830101,"(40.872179, -73.830101)",PATROL BORO BRONX,45-64,BLACK,M
167086123,2017-07-15,21:15:00,2017-07-15 21:15:00,2017-07-15,21:25:00,2017-07-15 21:25:00,34,2017-07-15,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,1002264,250413,25-44,WHITE,M,40.853985,-73.934883,"(40.853985, -73.934883)",PATROL BORO MAN NORTH,25-44,WHITE,M
162097170,2017-01-28,17:36:00,2017-01-28 17:36:00,,,,20,2017-02-20,121,CRIMINAL MISCHIEF & RELATED OF,273.0,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,992081,224190,,,,40.78202248,-73.97172308,"(40.78202248, -73.97172308)",PATROL BORO MAN NORTH,UNKNOWN,UNKNOWN,E
161472604,2017-01-31,10:00:00,2017-01-31 10:00:00,,,,75,2017-01-31,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,1018468,184404,,,,40.672758,-73.876644,"(40.672758, -73.876644)",PATROL BORO BKLYN NORTH,65+,BLACK,M
171196566,2017-11-03,19:48:00,2017-11-03 19:48:00,2017-11-03,19:50:00,2017-11-03 19:50:00,17,2017-11-03,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,993039,215158,65+,BLACK,M,40.757232,-73.968273,"(40.757232, -73.968273)",PATROL BORO MAN SOUTH,45-64,WHITE HISPANIC,M
178601669,2018-03-25,14:00:00,2018-03-25 14:00:00,2018-04-25,17:00:00,2018-04-25 17:00:00,70,2018-04-25,109,GRAND LARCENY,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,BROOKLYN,INSIDE,MAILBOX OUTSIDE,N.Y. POLICE DEPT,0,994040,173452,UNKNOWN,UNKNOWN,U,40.642758,-73.964721,"(40.642758, -73.964721)",PATROL BORO BKLYN SOUTH,65+,BLACK,F
175311181,2017-12-26,19:00:00,2017-12-26 19:00:00,2017-12-30,15:00:00,2017-12-30 15:00:00,52,2018-02-28,109,GRAND LARCENY,422.0,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,1018464,257578,UNKNOWN,UNKNOWN,U,40.873602,-73.876285,"(40.873602, -73.876285)",PATROL BORO BRONX,18-24,WHITE HISPANIC,F
190022223,2018-11-06,21:00:00,2018-11-06 21:00:00,2018-11-06,21:30:00,2018-11-06 21:30:00,102,2018-11-14,112,THEFT-FRAUD,739.0,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,1028107,194436,,,,40.700251,-73.841828,"(40.700251, -73.841828)",PATROL BORO QUEENS SOUTH,25-44,WHITE HISPANIC,F
172920554,2017-12-22,22:51:00,2017-12-22 22:51:00,,,,14,2017-12-23,121,CRIMINAL MISCHIEF & RELATED OF,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,MANHATTAN,INSIDE,GYM/FITNESS FACILITY,N.Y. POLICE DEPT,0,987816,211442,UNKNOWN,WHITE HISPANIC,M,40.747036,-73.987127,"(40.747036, -73.987127)",PATROL BORO MAN SOUTH,45-64,AMERICAN INDIAN/ALASKAN NATIVE,M
164382072,2017-05-03,01:50:00,2017-05-03 01:50:00,2017-05-03,02:00:00,2017-05-03 02:00:00,34,2017-05-03,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,1003184,252167,,,,40.858795,-73.931549,"(40.858795, -73.931549)",PATROL BORO MAN NORTH,25-44,WHITE,F
162361604,2017-02-28,17:00:00,2017-02-28 17:00:00,2017-03-01,07:15:00,2017-03-01 07:15:00,107,2017-03-01,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,1033381,200242,UNKNOWN,UNKNOWN,U,40.71616,-73.822768,"(40.71616, -73.822768)",PATROL BORO QUEENS SOUTH,UNKNOWN,UNKNOWN,D
175475229,2018-02-26,12:00:00,2018-02-26 12:00:00,2018-03-05,12:00:00,2018-03-05 12:00:00,114,2018-03-05,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,1004673,215499,UNKNOWN,UNKNOWN,U,40.758151,-73.926278,"(40.758151, -73.926278)",PATROL BORO QUEENS NORTH,25-44,WHITE,M
178456469,2018-04-19,09:00:00,2018-04-19 09:00:00,2018-04-21,17:00:00,2018-04-21 17:00:00,66,2018-04-21,341,PETIT LARCENY,303.0,"LARCENY,PETIT BY CHECK USE",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,984819,174242,UNKNOWN,UNKNOWN,U,40.644932,-73.997946,"(40.644932, -73.997946)",PATROL BORO BKLYN SOUTH,25-44,ASIAN / PACIFIC ISLANDER,F
